id,measurement_seq_start_time,availability,mut,mdt,mtbf,measurement_start_time,measurement_end_time,fault_profile,cluster_type,measurement_count,load_duration,locust_user_count,locust_spawn_rate,prev_git_commit_short,comment
abddcd4f-e494-4e72-9883-f78883f76d32,04-10-2021_16-12-38.022300,0.9749999999999998,292.5,15.0,307.5,04-10-2021_18-18-14.423554,04-10-2021_18-28-22.341463,stress-mem,eks,10,600,1,1,b1e601d,First stress memory test
abddcd4f-e494-4e72-9883-f78883f76d32,04-10-2021_16-12-38.022300,1.0,600.0,nan,nan,04-10-2021_18-35-13.067872,04-10-2021_18-45-21.550962,stress-mem,eks,10,600,1,1,b1e601d,First stress memory test
f6331fa5-8d6c-4977-96d7-54cf0e447778,04-10-2021_19-09-48.270519,1.0,600.0,nan,nan,04-10-2021_19-09-56.075811,04-10-2021_19-20-04.825859,none,eks,10,600,1,1,e785a73,First none profile test
f6331fa5-8d6c-4977-96d7-54cf0e447778,04-10-2021_19-09-48.270519,0.9500000000000001,190.0,15.0,205.0,04-10-2021_19-25-57.434698,04-10-2021_19-36-06.022385,none,eks,10,600,1,1,e785a73,First none profile test
f6331fa5-8d6c-4977-96d7-54cf0e447778,04-10-2021_19-09-48.270519,0.95,570.0,30.0,600.0,04-10-2021_19-42-44.797362,04-10-2021_19-52-54.142024,none,eks,10,600,1,1,e785a73,First none profile test
f6331fa5-8d6c-4977-96d7-54cf0e447778,04-10-2021_19-09-48.270519,0.9500000000000001,190.0,15.0,205.0,04-10-2021_19-58-30.539329,04-10-2021_20-08-39.726876,none,eks,10,600,1,1,e785a73,First none profile test
f6331fa5-8d6c-4977-96d7-54cf0e447778,04-10-2021_19-09-48.270519,0.9749999999999998,292.5,15.0,307.5,04-10-2021_20-14-30.322879,04-10-2021_20-24-39.340562,none,eks,10,600,1,1,e785a73,First none profile test
f6331fa5-8d6c-4977-96d7-54cf0e447778,04-10-2021_19-09-48.270519,0.9749999999999998,292.5,15.0,600.0,04-10-2021_20-30-32.360021,04-10-2021_20-40-44.254710,none,eks,10,600,1,1,e785a73,First none profile test
f6331fa5-8d6c-4977-96d7-54cf0e447778,04-10-2021_19-09-48.270519,0.9487179487179487,570.0,30.0,600.0,04-10-2021_20-47-13.724311,04-10-2021_20-57-31.966675,none,eks,10,600,1,1,e785a73,First none profile test
f6331fa5-8d6c-4977-96d7-54cf0e447778,04-10-2021_19-09-48.270519,0.9249999999999997,555.0,45.0,600.0,04-10-2021_21-04-16.992203,04-10-2021_21-14-27.682264,none,eks,10,600,1,1,e785a73,First none profile test
f6331fa5-8d6c-4977-96d7-54cf0e447778,04-10-2021_19-09-48.270519,0.9749999999999998,292.5,15.0,307.5,04-10-2021_21-20-14.637701,04-10-2021_21-30-27.804099,none,eks,10,600,1,1,e785a73,First none profile test
f6331fa5-8d6c-4977-96d7-54cf0e447778,04-10-2021_19-09-48.270519,0.9749999999999999,292.5,15.0,307.5,04-10-2021_21-36-26.336538,04-10-2021_21-46-35.204893,none,eks,10,600,1,1,e785a73,First none profile test
